,Año,Trimestre,Provincia,Tecnología,Accesos
280,2020,1,Salta,ADSL,60426.0
281,2020,1,San Juan,ADSL,40092.0
282,2020,1,San Luis,ADSL,8301.0
283,2020,1,Santa Cruz,ADSL,12845.0
284,2020,1,Santa Fe,ADSL,302366.0
285,2020,1,Santiago Del Estero,ADSL,24695.0
286,2020,1,Tierra Del Fuego,ADSL,12854.0
287,2020,1,Tucumán,ADSL,143184.0
288,2019,4,Buenos Aires,ADSL,720011.0
289,2019,4,Capital Federal,ADSL,196938.0
290,2019,4,Catamarca,ADSL,22999.0
291,2019,4,Chaco,ADSL,48661.0
292,2019,4,Chubut,ADSL,47045.0
293,2019,4,Córdoba,ADSL,296872.0
294,2019,4,Corrientes,ADSL,52525.0
295,2019,4,Entre Ríos,ADSL,92981.0
296,2019,4,Formosa,ADSL,21567.0
297,2019,4,Jujuy,ADSL,32949.0
298,2019,4,La Pampa,ADSL,15457.0
299,2019,4,La Rioja,ADSL,13738.0
300,2019,4,Mendoza,ADSL,96678.0
301,2019,4,Misiones,ADSL,53116.0
302,2019,4,Neuquén,ADSL,29826.0
303,2019,4,Río Negro,ADSL,49747.0
304,2019,4,Salta,ADSL,63272.0
305,2019,4,San Juan,ADSL,41360.0
306,2019,4,San Luis,ADSL,8569.0
307,2019,4,Santa Cruz,ADSL,13264.0
308,2019,4,Santa Fe,ADSL,312072.0
309,2019,4,Santiago Del Estero,ADSL,24682.0
310,2019,4,Tierra Del Fuego,ADSL,13261.0
311,2019,4,Tucumán,ADSL,146985.0
312,2019,3,Buenos Aires,ADSL,1277249.0
313,2019,3,Capital Federal,ADSL,300288.0
314,2019,3,Catamarca,ADSL,24349.0
315,2019,3,Chaco,ADSL,50416.0
316,2019,3,Chubut,ADSL,37298.0
317,2019,3,Córdoba,ADSL,307780.0
318,2019,3,Corrientes,ADSL,53344.0
319,2019,3,Entre Ríos,ADSL,94947.0
320,2019,3,Formosa,ADSL,21777.0
321,2019,3,Jujuy,ADSL,33110.0
322,2019,3,La Pampa,ADSL,19469.0
323,2019,3,La Rioja,ADSL,14390.0
324,2019,3,Mendoza,ADSL,148640.0
325,2019,3,Misiones,ADSL,54493.0
326,2019,3,Neuquén,ADSL,43347.0
327,2019,3,Río Negro,ADSL,67478.0
328,2019,3,Salta,ADSL,65799.0
329,2019,3,San Juan,ADSL,51670.0
330,2019,3,San Luis,ADSL,13037.0
331,2019,3,Santa Cruz,ADSL,10663.0
332,2019,3,Santa Fe,ADSL,319396.0
333,2019,3,Santiago Del Estero,ADSL,24556.0
334,2019,3,Tierra Del Fuego,ADSL,19790.0
335,2019,3,Tucumán,ADSL,150918.0
336,2019,2,Buenos Aires,ADSL,1284658.0
337,2019,2,Capital Federal,ADSL,309937.0
338,2019,2,Catamarca,ADSL,25682.0
339,2019,2,Chaco,ADSL,50765.0
340,2019,2,Chubut,ADSL,37313.0
341,2019,2,Córdoba,ADSL,314768.0
342,2019,2,Corrientes,ADSL,53835.0
343,2019,2,Entre Ríos,ADSL,97081.0
344,2019,2,Formosa,ADSL,21916.0
345,2019,2,Jujuy,ADSL,33022.0
