,Año,Trimestre,Provincia,Rango_Velocidad,Accesos
210,2020,4,San Luis,HASTA 512 kbps,58.0
211,2020,4,Santa Cruz,HASTA 512 kbps,47.0
212,2020,4,Santa Fe,HASTA 512 kbps,518.0
213,2020,4,Santiago Del Estero,HASTA 512 kbps,123.0
214,2020,4,Tierra Del Fuego,HASTA 512 kbps,17.0
215,2020,4,Tucumán,HASTA 512 kbps,29.0
216,2020,3,Buenos Aires,HASTA 512 kbps,37542.0
217,2020,3,Capital Federal,HASTA 512 kbps,264.0
218,2020,3,Catamarca,HASTA 512 kbps,63.0
219,2020,3,Chaco,HASTA 512 kbps,308.0
220,2020,3,Chubut,HASTA 512 kbps,158.0
221,2020,3,Córdoba,HASTA 512 kbps,168.0
222,2020,3,Corrientes,HASTA 512 kbps,72.0
223,2020,3,Entre Ríos,HASTA 512 kbps,130.0
224,2020,3,Formosa,HASTA 512 kbps,391.0
225,2020,3,Jujuy,HASTA 512 kbps,55.0
226,2020,3,La Pampa,HASTA 512 kbps,293.0
227,2020,3,La Rioja,HASTA 512 kbps,21.0
228,2020,3,Mendoza,HASTA 512 kbps,58.0
229,2020,3,Misiones,HASTA 512 kbps,71.0
230,2020,3,Neuquén,HASTA 512 kbps,218.0
231,2020,3,Río Negro,HASTA 512 kbps,114.0
232,2020,3,Salta,HASTA 512 kbps,129.0
233,2020,3,San Juan,HASTA 512 kbps,48.0
234,2020,3,San Luis,HASTA 512 kbps,105.0
235,2020,3,Santa Cruz,HASTA 512 kbps,66.0
236,2020,3,Santa Fe,HASTA 512 kbps,568.0
237,2020,3,Santiago Del Estero,HASTA 512 kbps,133.0
238,2020,3,Tierra Del Fuego,HASTA 512 kbps,11.0
239,2020,3,Tucumán,HASTA 512 kbps,52.0
240,2020,2,Buenos Aires,HASTA 512 kbps,37542.0
241,2020,2,Capital Federal,HASTA 512 kbps,264.0
242,2020,2,Catamarca,HASTA 512 kbps,63.0
243,2020,2,Chaco,HASTA 512 kbps,308.0
244,2020,2,Chubut,HASTA 512 kbps,158.0
245,2020,2,Córdoba,HASTA 512 kbps,168.0
246,2020,2,Corrientes,HASTA 512 kbps,72.0
247,2020,2,Entre Ríos,HASTA 512 kbps,130.0
248,2020,2,Formosa,HASTA 512 kbps,391.0
249,2020,2,Jujuy,HASTA 512 kbps,55.0
250,2020,2,La Pampa,HASTA 512 kbps,293.0
251,2020,2,La Rioja,HASTA 512 kbps,21.0
252,2020,2,Mendoza,HASTA 512 kbps,58.0
253,2020,2,Misiones,HASTA 512 kbps,71.0
254,2020,2,Neuquén,HASTA 512 kbps,218.0
255,2020,2,Río Negro,HASTA 512 kbps,114.0
256,2020,2,Salta,HASTA 512 kbps,129.0
257,2020,2,San Juan,HASTA 512 kbps,48.0
258,2020,2,San Luis,HASTA 512 kbps,105.0
259,2020,2,Santa Cruz,HASTA 512 kbps,66.0
260,2020,2,Santa Fe,HASTA 512 kbps,568.0
261,2020,2,Santiago Del Estero,HASTA 512 kbps,133.0
262,2020,2,Tierra Del Fuego,HASTA 512 kbps,11.0
263,2020,2,Tucumán,HASTA 512 kbps,52.0
264,2020,1,Buenos Aires,HASTA 512 kbps,38215.0
265,2020,1,Capital Federal,HASTA 512 kbps,264.0
266,2020,1,Catamarca,HASTA 512 kbps,63.0
267,2020,1,Chaco,HASTA 512 kbps,308.0
268,2020,1,Chubut,HASTA 512 kbps,158.0
269,2020,1,Córdoba,HASTA 512 kbps,142.0
270,2020,1,Corrientes,HASTA 512 kbps,72.0
271,2020,1,Entre Ríos,HASTA 512 kbps,130.0
272,2020,1,Formosa,HASTA 512 kbps,1127.0
273,2020,1,Jujuy,HASTA 512 kbps,55.0
274,2020,1,La Pampa,HASTA 512 kbps,293.0
275,2020,1,La Rioja,HASTA 512 kbps,21.0
276,2020,1,Mendoza,HASTA 512 kbps,58.0
277,2020,1,Misiones,HASTA 512 kbps,71.0
278,2020,1,Neuquén,HASTA 512 kbps,218.0
279,2020,1,Río Negro,HASTA 512 kbps,114.0
280,2020,1,Salta,HASTA 512 kbps,129.0
281,2020,1,San Juan,HASTA 512 kbps,48.0
282,2020,1,San Luis,HASTA 512 kbps,105.0
283,2020,1,Santa Cruz,HASTA 512 kbps,67.0
284,2020,1,Santa Fe,HASTA 512 kbps,696.0
285,2020,1,Santiago Del Estero,HASTA 512 kbps,133.0
286,2020,1,Tierra Del Fuego,HASTA 512 kbps,11.0
287,2020,1,Tucumán,HASTA 512 kbps,52.0
288,2019,4,Buenos Aires,HASTA 512 kbps,33489.0
289,2019,4,Capital Federal,HASTA 512 kbps,307.0
290,2019,4,Catamarca,HASTA 512 kbps,63.0
291,2019,4,Chaco,HASTA 512 kbps,83.0
292,2019,4,Chubut,HASTA 512 kbps,158.0
293,2019,4,Córdoba,HASTA 512 kbps,142.0
294,2019,4,Corrientes,HASTA 512 kbps,72.0
295,2019,4,Entre Ríos,HASTA 512 kbps,47.0
296,2019,4,Formosa,HASTA 512 kbps,1127.0
297,2019,4,Jujuy,HASTA 512 kbps,55.0
298,2019,4,La Pampa,HASTA 512 kbps,293.0
299,2019,4,La Rioja,HASTA 512 kbps,21.0
300,2019,4,Mendoza,HASTA 512 kbps,746.0
301,2019,4,Misiones,HASTA 512 kbps,71.0
302,2019,4,Neuquén,HASTA 512 kbps,218.0
303,2019,4,Río Negro,HASTA 512 kbps,114.0
304,2019,4,Salta,HASTA 512 kbps,149.0
305,2019,4,San Juan,HASTA 512 kbps,48.0
306,2019,4,San Luis,HASTA 512 kbps,105.0
307,2019,4,Santa Cruz,HASTA 512 kbps,67.0
308,2019,4,Santa Fe,HASTA 512 kbps,698.0
309,2019,4,Santiago Del Estero,HASTA 512 kbps,133.0
310,2019,4,Tierra Del Fuego,HASTA 512 kbps,11.0
311,2019,4,Tucumán,HASTA 512 kbps,55.0
312,2019,3,Buenos Aires,HASTA 512 kbps,238920.0
313,2019,3,Capital Federal,HASTA 512 kbps,104.0
314,2019,3,Catamarca,HASTA 512 kbps,34.0
315,2019,3,Chaco,HASTA 512 kbps,69.0
316,2019,3,Chubut,HASTA 512 kbps,74.0
317,2019,3,Córdoba,HASTA 512 kbps,83.0
318,2019,3,Corrientes,HASTA 512 kbps,10.0
319,2019,3,Entre Ríos,HASTA 512 kbps,19.0
320,2019,3,Formosa,HASTA 512 kbps,1110.0
321,2019,3,Jujuy,HASTA 512 kbps,27.0
322,2019,3,La Pampa,HASTA 512 kbps,237.0
323,2019,3,La Rioja,HASTA 512 kbps,9.0
324,2019,3,Mendoza,HASTA 512 kbps,21.0
325,2019,3,Misiones,HASTA 512 kbps,47.0
326,2019,3,Neuquén,HASTA 512 kbps,45.0
327,2019,3,Río Negro,HASTA 512 kbps,47.0
328,2019,3,Salta,HASTA 512 kbps,49.0
329,2019,3,San Juan,HASTA 512 kbps,22.0
330,2019,3,San Luis,HASTA 512 kbps,57.0
331,2019,3,Santa Cruz,HASTA 512 kbps,28.0
332,2019,3,Santa Fe,HASTA 512 kbps,640.0
333,2019,3,Santiago Del Estero,HASTA 512 kbps,39.0
334,2019,3,Tierra Del Fuego,HASTA 512 kbps,6.0
335,2019,3,Tucumán,HASTA 512 kbps,16.0
336,2019,2,Buenos Aires,HASTA 512 kbps,199768.0
