,Provincia,Localidad,Latitud,Longitud,Tecnología,Disponible
214,Mendoza,Valle Del Sol,-33.0174255607471,-69.2972914626044,ADSL,0
215,Mendoza,Villa El Refugio,-32.9975296309707,-69.317680250878,ADSL,0
216,Mendoza,VISTALBA,-33.0237918976098,-68.9247432402669,ADSL,0
217,Mendoza,Barrancas,-33.0833355400244,-68.7343792557021,ADSL,0
218,Mendoza,Barrio Jesús de Nazaret,-33.0103244179699,-68.7265920537237,ADSL,0
219,Buenos Aires,Esteban Agustín Gascón,-37.4544378016288,-63.2565950033782,ADSL,0
220,Buenos Aires,La Pala,-36.6613400852941,-63.3661281675236,ADSL,0
221,Buenos Aires,Maza,-36.7999468137731,-63.3385151506224,ADSL,0
222,Buenos Aires,Rivera,-37.1583546113813,-63.2442194943605,ADSL,0
223,Buenos Aires,Thames,-36.9291655620507,-63.2957265324881,ADSL,0
224,Buenos Aires,Villa Margarita,-37.4600992847959,-63.2405658599852,ADSL,0
225,Buenos Aires,Yutuyaco,-36.9884309445004,-63.133808887439,ADSL,0
226,Buenos Aires,Adolfo Gonzales Chaves (Est. Chaves),-38.0333995087596,-60.1003341740637,ADSL,1
227,Buenos Aires,De la Garma,-37.9635021758562,-60.415659383962,ADSL,0
228,Buenos Aires,Juan E. Barra,-37.8233871716044,-60.484639770555,ADSL,0
229,Buenos Aires,Vásquez,-38.1766861391835,-60.1708487303777,ADSL,0
230,Buenos Aires,Alberti (Est. Andrés Vaccarezza),-35.0330734347841,-60.2806197287099,ADSL,1
231,Buenos Aires,Coronel Seguí,-34.8681189984321,-60.3939708823404,ADSL,0
232,Buenos Aires,Mechita,-35.068013673391,-60.4025971632697,ADSL,1
233,Buenos Aires,Pla,-35.1243819752343,-60.2200612615259,ADSL,0
234,Buenos Aires,Villa Grisolía (Est. Achupallas),-35.1096178332808,-60.070551324606,ADSL,0
235,Buenos Aires,Villa María,-34.8881255447686,-60.3469385614883,ADSL,0
236,Buenos Aires,Barrio Belgrano-Máximo Paz,-34.9364563092157,-58.6143957995956,ADSL,0
237,Buenos Aires,Barrio El Taladro,-35.0742486164225,-58.8632420603475,ADSL,0
238,Buenos Aires,Cañuelas,-35.0527140350539,-58.7583856965375,ADSL,1
239,Buenos Aires,Gobernador Udaondo,-35.3003271130454,-58.5943053657455,ADSL,0
240,Buenos Aires,Máximo Paz,-34.9364563092157,-58.6143957995956,ADSL,0
241,Buenos Aires,Santa Rosa,-34.9611839371811,-58.7308918275978,ADSL,0
242,Buenos Aires,Uribelarrea,-35.1227364407356,-58.8904871463421,ADSL,1
243,Buenos Aires,Vicente Casares,-34.9653526702416,-58.6504979594296,ADSL,1
244,Buenos Aires,Capitán Sarmiento,-34.1723674255219,-59.789349139091,ADSL,1
245,Buenos Aires,La Luisa,-34.1285572110784,-59.9240058312679,ADSL,0
246,Buenos Aires,Bellocq,-35.9189705554631,-61.5312630222769,ADSL,0
247,Buenos Aires,Cadret,-35.7727531397053,-61.3353879836968,ADSL,0
248,Buenos Aires,Pueblo Gouin,-34.4951191416005,-59.8029737383366,ADSL,0
249,Buenos Aires,General Rodríguez,-34.6079239021063,-58.950282039134,ADSL,1
250,Buenos Aires,Barrio Parque General San Martin,-34.5673433766504,-58.5843112459936,ADSL,0
251,Buenos Aires,Billinghurst,-34.5751071711249,-58.5745828938046,ADSL,1
252,Buenos Aires,Ciudad Del Libertador General San Martin,-34.5796986848297,-58.5420144816587,ADSL,1
253,Buenos Aires,Ciudad Jardin El Libertador,-34.5416520781805,-58.5959093634496,ADSL,0
254,Buenos Aires,Va Ma Irene De Los Remedios De Escalada,-34.5646397095177,-58.5922548425316,ADSL,0
255,Buenos Aires,Villa Ayacucho,-34.5904132636755,-58.5530430923958,ADSL,0
256,Buenos Aires,Villa Ballester,-34.5422846822324,-58.5583177179822,ADSL,1
257,Mendoza,Bardas Blancas,-35.870882529299,-69.8066780720987,ADSL,0
258,Buenos Aires,Rancagua,-34.0303722475767,-60.5042327001336,ADSL,1
259,Buenos Aires,Villa Angélica (Est. El Socorro),-33.6647037443081,-60.7084372635626,ADSL,0
260,Buenos Aires,Villa San José,-34.0906695795004,-60.4162716627136,ADSL,0
261,Buenos Aires,Casalins,-36.3181419923689,-58.5525025522873,ADSL,0
262,Buenos Aires,Pila,-36.0014746137723,-58.1427778873885,ADSL,0
263,Buenos Aires,Barrio Parque Almirante Irizar (Ap. Kilómetro 61),-34.4220055807037,-58.9528378824193,ADSL,0
264,Buenos Aires,Club de Campo Larena - Los Quinchos,-34.3911412682883,-59.0007332098308,ADSL,0
265,Buenos Aires,Country Club El Jagüel,-34.4,-59.0219,ADSL,0
266,Buenos Aires,Del Viso,-34.4494009456502,-58.8009119728306,ADSL,1
267,Buenos Aires,Fátima,-34.4072575836787,-58.974691291144,ADSL,1
268,Buenos Aires,La Lonja,-34.4448149403448,-58.8393730861805,ADSL,1
269,Capital Federal,VILLA URQUIZA,-34.5715411303449,-58.4878560596649,ADSL,1
270,Catamarca,San José,-28.3887321458271,-65.7062701247999,ADSL,0
271,Catamarca,Villa Las Pirquitas,-28.2754665210832,-65.733431477509,ADSL,0
272,Catamarca,Casa de Piedra,-29.649289010725,-65.5171151597056,ADSL,0
273,Catamarca,El Aybal,-29.1066140404485,-65.339695207396,ADSL,0
274,Catamarca,El Bañado,-29.1832354089391,-65.4161459216901,ADSL,0
275,Catamarca,El Divisadero,-29.1937184157281,-65.4233403523442,ADSL,0
276,Catamarca,El Quimilo,-29.9534214435134,-65.3926406151323,ADSL,0
277,Catamarca,Esquiú,-29.3790661944991,-65.2898287859815,ADSL,0
278,Catamarca,Icaño,-28.9308886124085,-65.2902158081112,ADSL,0
279,Catamarca,La Dorada,-29.2804387843954,-65.4766321943102,ADSL,0
280,Capital Federal,BELGRANO,-34.5548815240237,-58.4502890947349,ADSL,1
281,Córdoba,Colonia Marina,-31.2485066335845,-62.3639645596989,ADSL,0
282,Córdoba,Colonia Prosperidad,-31.6304966252155,-62.3663613505205,ADSL,0
283,Córdoba,Colonia San Bartolomé,-31.528322298444,-62.7244933856141,ADSL,0
284,Córdoba,Colonia San Pedro,-30.7836021597954,-61.9175643185455,ADSL,0
285,Córdoba,Colonia Santa María,-31.6057747904501,-62.4278882105043,ADSL,0
286,Córdoba,Colonia Valtelina,-31.0529548297979,-62.235437860737,ADSL,0
287,Córdoba,Colonia Vignaud,-30.8416242298498,-61.9558386203663,ADSL,1
288,Catamarca,La Guardia,-29.5496731497758,-65.4504857993817,ADSL,0
289,Catamarca,Las Esquinas,-28.7644628061471,-65.1120210167305,ADSL,0
290,Catamarca,Las Palmitas,-28.6402396947153,-64.9870716926629,ADSL,0
291,Catamarca,Quirós,-28.7883056058069,-65.1007302335708,ADSL,0
292,Catamarca,Ramblones,-29.1582844511715,-65.374945475853,ADSL,0
293,Catamarca,Recreo,-29.2768611237227,-65.0565641552447,ADSL,1
294,Catamarca,San Antonio,-28.9331053161662,-65.0949655869377,ADSL,0
295,Catamarca,Amadores,-28.2680363798746,-65.6462108146466,ADSL,0
296,Catamarca,El Rosario,-27.9877541032226,-65.688606939529,ADSL,0
297,Catamarca,La Bajada,-28.3920524907261,-65.6282649899935,ADSL,0
298,Catamarca,La Higuera,-27.9352828616507,-65.699367489363,ADSL,0
299,Catamarca,La Merced,-28.1537649054231,-65.6696062414473,ADSL,1
300,Catamarca,La Viña,-28.044445782746,-65.6079383578395,ADSL,0
301,Catamarca,Las Lajas,-27.826913357423,-65.7401079267206,ADSL,0
302,Catamarca,Monte Potrero,-28.19124607288,-65.670675013192,ADSL,0
303,Catamarca,Palo Labrado,-28.3360934480518,-65.6274299147885,ADSL,0
304,Catamarca,San Antonio,-28.0073083693979,-65.726850392729,ADSL,0
305,Catamarca,Villa de Balcozna,-27.87835755933,-65.7190758944755,ADSL,0
306,Catamarca,Apoyaco,-28.3006337911705,-66.1659791753183,ADSL,0
307,Catamarca,Colana,-28.3432877302321,-66.1222559102194,ADSL,0
308,Catamarca,Colpes,-28.0606503909839,-66.2065039006705,ADSL,0
309,Catamarca,El Pajonal (Est. Pomán),-28.3773148491306,-66.3017092655099,ADSL,0
310,Catamarca,Joyango,-28.0731019653889,-66.1435569766782,ADSL,0
311,Buenos Aires,Villa Ortiz (Est. Coronel Mom),-34.8435329449862,-60.3048498633642,ADSL,0
312,Buenos Aires,Adrogué,-34.8015580737331,-58.3914677191541,ADSL,1
313,Buenos Aires,Burzaco,-34.8315415891783,-58.3986874871405,ADSL,1
314,Buenos Aires,Claypole,-34.8044759080477,-58.3447825531042,ADSL,1
